City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
497,Barkly West,ZA,67.28,scattered clouds,-28.5354,24.5215,Stafford Parker Guest House
501,Tanabe,JP,53.37,overcast clouds,33.7333,135.3667,美吉屋旅館
503,Plettenberg Bay,ZA,60.67,few clouds,-34.0527,23.3716,Thanda Vista B&B
504,Krasnyy Yar,RU,35.53,clear sky,46.5331,48.3456,Cottege near Ufa
505,Zunyi,CN,46.02,broken clouds,27.6867,106.9072,Bishiluo Hostel
506,Sainte-Thecle,CA,43.32,overcast clouds,46.8168,-72.4991,Camping Lac et Forêt
512,Caceres,ES,53.8,scattered clouds,39.522,-6.3748,Ahc Hoteles
514,Lakes Entrance,AU,55.17,scattered clouds,-37.8811,147.981,The Esplanade Resort & Spa
515,Itaberaba,BR,74.37,overcast clouds,-12.5275,-40.3069,Araújo Hotel
519,Russell,US,58.91,clear sky,32.3502,-85.1999,Macs
520,Eureka,US,69.21,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
522,Putai,FR,50.09,overcast clouds,46.6579,1.9863,La Croix Verte
526,Araucaria,BR,61.92,broken clouds,-25.5931,-49.4103,Hotel San Gabriel
528,Goba,ET,49.06,broken clouds,7.0167,39.9833,Goba Wabe Shebelle Hotel
531,Ambalavao,MG,66.43,light rain,-21.8333,46.9333,Hôtel Le Tropik
534,Riobamba,EC,62.51,light rain,-1.6667,-78.6333,Mansion Santa Isabella
536,Jumla,NP,42.33,clear sky,29.2747,82.1838,Royal Garden Hotel
539,Nelson Bay,AU,63.1,clear sky,-32.7167,152.15,Mantra Nelson Bay
542,Qiyang,CN,53.83,broken clouds,26.5911,111.8474,鑫利大酒店
543,Murgab,TM,40.87,scattered clouds,37.4966,61.9714,
545,Gedo,ET,55.42,overcast clouds,9.0167,37.45,Mida Qanyi
552,Mount Isa,AU,58.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
557,Bedele,ET,54.41,light rain,8.456,36.353,Central Hotel
559,Ouesso,CG,71.08,moderate rain,1.6136,16.0517,ABENIE Hotel
