City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
114,San Quintin,MX,30.4833,-115.95,77.95,31,11,8.68,few clouds
115,Mitu,CO,1.1983,-70.1733,79.86,93,54,1.81,broken clouds
116,Carballo,ES,43.213,-8.691,52.86,94,20,1.77,few clouds
117,Maniitsoq,GL,65.4167,-52.9,14.63,54,0,9.13,clear sky
118,Castro,BR,-24.7911,-50.0119,60.82,77,0,12.01,clear sky
119,Asau,RO,46.4333,26.4,42.4,76,95,2.93,overcast clouds
120,Oksovskiy,RU,62.6062,39.8984,25.38,85,50,3.22,scattered clouds
121,Saskylakh,RU,71.9167,114.0833,-16.8,88,9,7.47,clear sky
122,Namatanai,PG,-3.6667,152.4333,80.53,82,87,6.33,light rain
123,Camapua,BR,-19.5314,-54.0439,83.98,54,100,7.36,overcast clouds
124,Tiksi,RU,71.6872,128.8694,-0.4,99,100,5.14,overcast clouds
125,Bud,US,39.447,-86.1758,37.9,75,100,12.26,overcast clouds
126,Qaanaaq,GL,77.484,-69.3632,-8.81,54,0,8.21,clear sky
127,Saint Anthony,US,45.0205,-93.218,33.93,80,90,1.99,snow
128,Port Lincoln,AU,-34.7333,135.8667,55.09,62,47,22.28,scattered clouds
129,Kahului,US,20.8947,-156.47,82.69,67,100,1.41,overcast clouds
130,Dinard,FR,48.6314,-2.0614,56.01,86,90,8.05,overcast clouds
131,Safaga,EG,26.7292,33.9365,71.55,64,70,6.35,broken clouds
132,Saint-Pierre,RE,-21.3393,55.4781,74.84,78,0,8.05,clear sky
133,Sao Caetano De Odivelas,BR,-0.75,-48.02,77.72,88,35,7.92,scattered clouds
134,Ancud,CL,-41.8697,-73.8203,59.43,70,11,11.07,few clouds
135,Ankazoabo,MG,-22.2833,44.5167,73.9,49,7,6.15,clear sky
136,Barra Do Garcas,BR,-15.89,-52.2567,79.38,89,40,0.0,scattered clouds
137,Nyurba,RU,63.2842,118.3319,-12.86,96,38,4.12,scattered clouds
138,Oranjestad,AW,12.524,-70.027,85.95,66,20,17.27,few clouds
139,Tongling,CN,30.95,117.7833,49.44,63,0,5.73,clear sky
140,Wollongong,AU,-34.4333,150.8833,60.93,68,16,12.8,few clouds
141,College,US,64.8569,-147.8028,3.29,77,40,3.44,scattered clouds
142,Leh,IN,34.1667,77.5833,18.32,46,0,3.36,clear sky
143,Bredasdorp,ZA,-34.5322,20.0403,56.28,86,47,2.57,scattered clouds
144,Dunedin,NZ,-45.8742,170.5036,54.81,66,100,3.0,overcast clouds
145,San Carlos De Bariloche,AR,-41.1456,-71.3082,49.75,53,75,28.77,broken clouds
146,Kalmunai,LK,7.4167,81.8167,79.38,81,97,2.04,overcast clouds
147,Lebu,CL,-37.6167,-73.65,55.62,64,8,12.19,clear sky
148,Altay,CN,47.8667,88.1167,30.51,84,99,3.74,overcast clouds
149,Marsabit,KE,2.3284,37.9899,70.36,65,67,12.21,light rain
150,Kenitra,MA,34.261,-6.5802,50.76,66,0,5.28,clear sky
151,Cherskiy,RU,68.75,161.3,16.27,92,100,5.39,overcast clouds
152,Shahdadpur,PK,25.9241,68.62,62.6,17,0,4.21,clear sky
153,Lata,PT,40.1629,-8.3327,56.8,72,82,3.15,broken clouds
154,Melilla,ES,35.2937,-2.9383,61.18,82,20,6.91,few clouds
155,Seoul,KR,37.5683,126.9778,47.71,79,75,6.91,broken clouds
156,Bilma,NE,18.6853,12.9164,80.24,15,72,5.1,broken clouds
157,Trincomalee,LK,8.5711,81.2335,80.26,78,100,17.92,overcast clouds
158,Lopatinskiy,RU,55.3406,38.7256,37.89,86,94,5.1,overcast clouds
159,Coquimbo,CL,-29.9533,-71.3436,65.93,63,0,17.27,clear sky
160,Ambulu,ID,-8.345,113.6058,75.81,86,100,1.79,light rain
161,Port Blair,IN,11.6667,92.75,79.14,79,98,2.51,overcast clouds
162,Le Pradet,FR,43.1066,6.0172,60.49,67,0,9.22,clear sky
163,Verkhoyansk,RU,67.5447,133.385,-13.67,100,90,1.88,overcast clouds
164,Gazli,UZ,40.1333,63.45,41.47,47,44,7.05,scattered clouds
165,Buenos Aires,AR,-34.6132,-58.3772,83.01,50,19,18.28,few clouds
166,Bollnas,SE,61.3482,16.3946,30.38,98,65,1.97,broken clouds
167,Varhaug,NO,58.6147,5.6457,43.9,72,35,5.14,scattered clouds
168,Ginir,ET,7.1333,40.7,59.07,72,59,2.8,broken clouds
169,Emerald,AU,-23.5333,148.1667,59.14,77,0,0.0,clear sky
170,Anadyr,RU,64.75,177.4833,21.7,100,90,4.0,light snow
171,Hovd,MN,48.0056,91.6419,27.23,52,56,6.38,broken clouds
172,Lagoa,PT,39.05,-27.9833,63.09,67,100,20.04,overcast clouds
173,Saldanha,ZA,-33.0117,17.9442,62.92,83,86,17.87,overcast clouds
174,Upernavik,GL,72.7868,-56.1549,6.85,91,99,5.01,overcast clouds
175,Katsuura,JP,35.1333,140.3,62.19,66,93,11.68,overcast clouds
176,Ndele,CF,8.4109,20.6473,78.44,54,39,2.48,scattered clouds
177,Mao,ES,39.8885,4.2658,61.36,88,75,16.11,broken clouds
178,High Level,CA,58.5169,-117.136,30.31,100,75,2.3,broken clouds
179,Tawang,IN,27.5833,91.8667,36.43,81,16,4.03,few clouds
180,Tekeli,KZ,44.83,78.8239,37.2,48,89,8.14,overcast clouds
181,Ipixuna,BR,-1.7625,-48.8043,84.15,83,99,3.96,overcast clouds
182,Komsomolets,KZ,53.7453,62.0708,23.68,97,87,9.1,overcast clouds
183,Luderitz,NA,-26.6481,15.1594,67.17,58,6,15.97,clear sky
184,Pacific Grove,US,36.6177,-121.9166,80.58,63,4,1.99,clear sky
185,Souillac,MU,-20.5167,57.5167,77.36,83,20,8.05,few clouds
186,Bayji,IQ,34.9311,43.487,61.21,39,6,6.91,clear sky
187,Port Hardy,CA,50.6996,-127.4199,46.4,93,90,11.5,light rain
188,Paamiut,GL,61.994,-49.6678,8.19,74,0,9.71,clear sky
189,Halifax,CA,44.6453,-63.5724,59.05,96,100,1.01,overcast clouds
190,Verkh-Usugli,RU,52.7,115.1667,16.21,78,3,2.98,clear sky
191,Mehamn,NO,71.0357,27.8492,30.79,70,98,11.52,overcast clouds
192,Ponta Do Sol,PT,32.6667,-17.1,68.63,71,55,3.94,broken clouds
193,Hami,CN,42.8,93.45,29.43,46,1,3.69,clear sky
194,Oga,IT,46.4631,10.347,37.81,99,100,2.82,overcast clouds
195,Ponnani,IN,10.767,75.9252,76.32,93,100,7.2,overcast clouds
196,Vitry-Le-Francois,FR,48.7333,4.5833,50.13,98,100,5.35,overcast clouds
197,Shellbrook,CA,53.2168,-106.4011,22.23,92,91,3.8,overcast clouds
198,Hamilton,US,39.1834,-84.5333,41.59,73,90,1.99,overcast clouds
199,Mercedes,AR,-34.6515,-59.4307,82.85,24,50,15.59,scattered clouds
200,Byron Bay,AU,-28.65,153.6167,66.15,50,0,9.51,clear sky
201,Nantucket,US,41.2835,-70.0995,55.96,83,0,15.99,clear sky
202,Malumfashi,NG,11.7853,7.6218,75.27,18,98,6.76,overcast clouds
203,Havre-Saint-Pierre,CA,50.2334,-63.5986,39.79,93,75,2.3,broken clouds
204,Praya,CV,14.9215,-23.5087,75.74,73,20,14.97,few clouds
205,Khatanga,RU,71.9667,102.5,-8.79,88,100,7.54,overcast clouds
206,Severnyy,RU,50.677,36.5532,35.64,75,75,0.0,broken clouds
207,Zheleznodorozhnyy,RU,55.7503,38.0042,37.58,77,100,5.14,overcast clouds
208,Kuala Terengganu,MY,5.3302,103.1408,75.15,100,40,0.0,heavy intensity rain
209,Apatzingan,MX,19.0833,-102.35,86.29,44,0,2.51,clear sky
210,Ulladulla,AU,-35.35,150.4667,60.87,57,51,12.86,broken clouds
211,Homer,US,59.6425,-151.5483,19.78,88,44,5.53,scattered clouds
212,Tadine,NC,-21.55,167.8833,79.65,70,76,6.33,broken clouds
213,Cravo Norte,CO,6.3017,-70.2041,86.65,56,98,6.85,overcast clouds
214,Tommot,RU,58.9564,126.2925,-0.51,96,91,3.76,overcast clouds
215,Verkhnyaya Inta,RU,65.9811,60.3094,11.57,95,90,15.57,light snow
216,Deputatskiy,RU,69.3,139.9,-8.16,100,100,1.86,overcast clouds
217,Constitucion,CL,-35.3333,-72.4167,58.03,61,0,20.2,clear sky
218,Stornoway,GB,58.2093,-6.3865,51.76,87,75,16.11,light rain
219,Bonthe,SL,7.5264,-12.505,79.74,83,100,5.21,light rain
220,Olovo,BA,44.13,18.5828,40.95,89,100,3.56,overcast clouds
221,Tura,IN,25.5198,90.2201,59.76,82,26,2.51,scattered clouds
222,Nanortalik,GL,60.1432,-45.2371,20.95,67,2,24.34,clear sky
223,Georgetown,MY,5.4112,100.3354,76.95,95,20,1.99,thunderstorm with light rain
224,Lebork,PL,54.5392,17.7501,44.92,87,100,4.16,overcast clouds
225,Rocha,UY,-34.4833,-54.3333,66.34,66,0,18.84,clear sky
226,Neiafu,TO,-18.65,-173.9833,78.8,77,3,7.05,clear sky
227,Bethel,US,41.3712,-73.414,56.84,79,90,17.27,light rain
228,Sorong,ID,-0.8833,131.25,78.93,85,100,4.59,overcast clouds
229,Iqaluit,CA,63.7506,-68.5145,-4.27,76,20,18.99,fog
230,Hakkari,TR,37.5833,44.1667,38.28,44,0,1.39,clear sky
231,Rio Cuarto,AR,-33.1307,-64.3499,62.37,88,90,28.77,light rain
232,Lazaro Cardenas,MX,17.9583,-102.2,84.69,60,0,9.35,clear sky
233,Torbay,CA,47.6666,-52.7314,44.58,91,90,26.46,light intensity shower rain
234,Mahebourg,MU,-20.4081,57.7,77.25,83,20,8.05,few clouds
235,Coihaique,CL,-45.5752,-72.0662,61.41,41,75,10.36,broken clouds
236,Barcelona,ES,41.3888,2.159,61.86,78,40,1.01,scattered clouds
237,Darnah,LY,32.767,22.6367,66.65,70,100,7.96,overcast clouds
238,Komsomolskiy,UZ,40.4272,71.7189,38.62,69,67,6.91,mist
239,Longyearbyen,SJ,78.2186,15.6401,10.24,61,40,16.11,scattered clouds
240,Ilulissat,GL,69.2167,-51.1,-13.56,70,2,6.58,clear sky
241,Tuatapere,NZ,-46.1333,167.6833,48.7,95,100,2.26,light rain
242,Guerrero Negro,MX,27.9769,-114.0611,84.45,22,68,7.67,broken clouds
243,Acapulco,MX,16.8634,-99.8901,83.79,63,0,6.35,clear sky
244,Isangel,VU,-19.55,169.2667,80.92,73,6,6.06,clear sky
245,Soure,BR,-0.7167,-48.5233,81.5,75,40,10.45,scattered clouds
246,Hambantota,LK,6.1241,81.1185,78.57,81,100,14.56,overcast clouds
247,West Wendover,US,40.7391,-114.0733,59.81,36,96,3.65,overcast clouds
248,Grand Gaube,MU,-20.0064,57.6608,77.38,74,35,7.0,scattered clouds
249,Jenison,US,42.9072,-85.792,42.06,79,98,4.0,overcast clouds
250,Kibala,TD,9.1104,18.3463,78.75,83,0,0.0,clear sky
251,Quatre Cocos,MU,-20.2078,57.7625,77.09,72,75,13.31,broken clouds
252,Atambua,ID,-9.1061,124.8925,74.73,89,100,0.76,overcast clouds
253,Severo-Kurilsk,RU,50.6789,156.125,38.64,81,38,24.56,scattered clouds
254,Las Choapas,MX,17.9333,-94.0833,71.29,91,100,3.44,overcast clouds
255,Fevik,NO,58.3794,8.6766,42.57,82,99,16.71,overcast clouds
256,Dudinka,RU,69.4058,86.1778,9.45,93,100,13.62,light snow
257,Bambanglipuro,ID,-7.95,110.2833,75.56,94,100,3.42,overcast clouds
258,Clarksburg,US,39.2807,-80.3445,42.08,66,73,10.45,broken clouds
259,Namibe,AO,-15.1961,12.1522,71.51,76,58,1.48,broken clouds
260,Inuvik,CA,68.3499,-133.7218,18.61,92,75,5.75,light snow
261,Sorland,NO,67.667,12.6934,39.27,65,63,17.25,broken clouds
262,Cedral,MX,23.8,-100.7333,66.25,48,65,9.55,broken clouds
263,Grindavik,IS,63.8424,-22.4338,50.47,93,75,32.21,broken clouds
264,Ambilobe,MG,-13.2,49.05,75.94,76,86,5.28,overcast clouds
265,Salinas,US,36.6777,-121.6555,80.2,42,1,8.05,clear sky
266,Chokwe,MZ,-24.5333,32.9833,76.28,68,100,6.17,overcast clouds
267,Valparaiso,CL,-33.0393,-71.6273,68.23,47,0,18.41,clear sky
268,Chama,CH,47.1821,8.4636,49.05,94,90,2.3,mist
269,Sept-Iles,CA,50.2001,-66.3821,38.05,91,90,1.99,overcast clouds
270,Kabanga,TZ,-2.6386,30.4678,60.67,82,94,1.81,overcast clouds
271,Klaksvik,FO,62.2266,-6.589,47.32,97,100,26.69,overcast clouds
272,Tyukalinsk,RU,55.8732,72.1967,27.46,96,100,11.99,light snow
273,Marawi,PH,7.9986,124.2928,65.64,93,98,2.8,overcast clouds
274,Dergachi,RU,51.2328,48.7659,34.41,74,100,12.21,overcast clouds
275,Pochutla,MX,15.7432,-96.4661,87.82,52,3,7.18,clear sky
276,Porto Murtinho,BR,-21.6989,-57.8825,95.83,33,60,3.8,broken clouds
277,Chimore,BO,-16.9833,-65.1333,86.14,58,100,1.45,overcast clouds
278,Aden,YE,12.7794,45.0367,81.25,64,1,18.45,clear sky
279,Basoko,CD,1.2391,23.616,71.62,92,98,2.24,overcast clouds
280,Sigmaringen,DE,48.0833,9.2167,45.27,96,100,3.6,overcast clouds
281,Guia De Isora,ES,28.2115,-16.7795,63.32,62,52,1.01,broken clouds
282,Lishui,CN,28.4604,119.9103,45.95,96,6,1.32,clear sky
283,Malmesbury,ZA,-33.4608,18.7271,64.76,91,77,6.87,broken clouds
284,Marmande,FR,44.5,0.1667,55.71,97,100,6.35,overcast clouds
285,Marshall,US,34.3834,-86.3333,52.12,51,1,1.99,clear sky
286,Pauini,BR,-7.7136,-66.9764,82.9,75,91,3.11,overcast clouds
287,Caravelas,BR,-17.7125,-39.2481,69.48,83,100,11.95,overcast clouds
288,Namanyere,TZ,-7.5167,31.05,69.06,43,85,4.74,overcast clouds
289,Kaman,IN,27.65,77.2667,65.7,28,0,1.21,clear sky
290,Xinyu,CN,27.8043,114.9334,50.5,67,17,1.19,few clouds
